HUD frame time nsec:,109641000

Range Index,Elapsed Time, First Event,Last Event
0,13024,2,2
1,54464,16,16
2,69408,23,23
3,62336,30,30
4,67936,37,37
5,63968,44,44
6,65248,51,51
7,64768,58,58
8,63648,65,65
9,67904,72,72
10,61728,79,79
11,69760,86,86
12,62304,93,93
13,69248,100,100
14,62592,107,107
15,67744,114,114
16,64000,121,121
17,65504,128,128
18,65536,135,135
19,63936,142,142
20,67936,149,149
21,62240,156,156
22,68928,163,163
23,62592,170,170
24,69280,177,177
25,62656,184,184
26,67104,191,191
27,64480,198,198
28,65408,205,205
29,65312,212,212
30,63904,219,219
31,67872,226,226
32,61696,233,233
33,731744,240,240
34,63264,247,247
35,68928,254,254
36,62688,261,261
37,67616,268,268
38,64064,275,275
39,65344,282,282
40,65504,289,289
41,63872,296,296
42,67904,303,303
43,62368,310,310
44,69536,317,317
45,62048,324,324
46,69536,331,331
47,62464,338,338
48,67136,345,345
49,220640,352,352
50,66048,359,359
51,64288,366,366
52,67648,373,373
53,62656,380,380
54,67424,387,387
55,62912,394,394
56,66112,401,401
57,65504,408,408
58,64096,415,415
59,67904,422,422
60,62496,429,429
61,69536,436,436
62,62336,443,443
63,69312,450,450
64,62848,457,457
65,67616,464,464
66,64224,471,471
67,65440,478,478
68,65632,485,485
69,64000,492,492
70,68256,499,499
71,61920,506,506
72,69600,513,513
73,62080,520,520
74,69568,527,527
75,62656,534,534
76,67936,541,541
77,64000,548,548
78,65568,555,555
79,65408,562,562
80,64128,569,569
81,68064,576,576
82,62176,583,583
83,69696,590,590
84,62240,597,597
85,69440,604,604
86,62656,611,611
87,67840,618,618
88,64096,625,625
89,65440,632,632
90,65664,639,639
91,63968,646,646
92,67872,653,653
93,62336,660,660
94,69600,667,667
95,62112,674,674
96,69600,681,681
97,62592,688,688
98,67872,695,695
99,64064,702,702
100,65536,709,709
101,63488,716,716
102,68384,723,723
103,62848,730,730
104,67872,737,737
105,63840,744,744
106,65504,751,751
107,65760,758,758
108,64064,765,765
109,67904,772,772
110,62496,779,779
111,69472,786,786
112,62304,793,793
113,69504,800,800
114,62688,807,807
115,68096,814,814
116,64128,821,821
117,65472,828,828
118,65568,835,835
119,64096,842,842
120,68032,849,849
121,62496,856,856
122,69632,863,863
123,62240,870,870
124,69664,877,877
125,62656,884,884
126,67936,891,891
127,64128,898,898
128,65792,905,905
129,65312,912,912
130,64192,919,919
131,67840,926,926
132,62624,933,933
133,69568,940,940
134,62304,947,947
135,69504,954,954
136,62912,961,961
137,67648,968,968
138,64160,975,975
139,65504,982,982
140,65696,989,989
141,64000,996,996
142,68032,1003,1003
143,62432,1010,1010
144,76768,1017,1017
145,62048,1024,1024
146,69568,1031,1031
147,62720,1038,1038
148,68000,1045,1045
149,64192,1052,1052
150,65408,1059,1059
151,62688,1066,1066
152,69408,1073,1073
153,62336,1080,1080
154,68256,1087,1087
155,63872,1094,1094
156,65824,1101,1101
157,65152,1108,1108
158,63776,1115,1115
159,68032,1122,1122
160,62336,1129,1129
161,69696,1136,1136
162,62016,1143,1143
163,69728,1150,1150
164,62496,1157,1157
165,67744,1164,1164
166,64128,1171,1171
167,65568,1178,1178
168,65568,1185,1185
169,63968,1192,1192
170,67968,1199,1199
171,62432,1206,1206
172,69664,1213,1213
173,62080,1220,1220
174,69792,1227,1227
175,62496,1234,1234
176,67776,1241,1241
177,64256,1248,1248
178,65312,1255,1255
179,65568,1262,1262
180,64064,1269,1269
181,67872,1276,1276
182,62400,1283,1283
183,69664,1290,1290
184,62208,1297,1297
185,69248,1304,1304
186,62656,1311,1311
187,68032,1318,1318
188,64032,1325,1325
189,65440,1332,1332
190,65472,1339,1339
191,64192,1346,1346
192,67712,1353,1353
193,62496,1360,1360
194,69568,1367,1367
195,62112,1374,1374
196,69632,1381,1381
197,62528,1388,1388
198,67872,1395,1395
199,64064,1402,1402
200,65440,1409,1409
201,62624,1416,1416
202,69280,1423,1423
203,62944,1430,1430
204,67744,1437,1437
205,64096,1444,1444
206,65568,1451,1451
207,65504,1458,1458
208,64256,1465,1465
209,67520,1472,1472
210,62272,1479,1479
211,69632,1486,1486
212,62208,1493,1493
213,69440,1500,1500
214,62656,1507,1507
215,67840,1514,1514
216,64224,1521,1521
217,65504,1528,1528
218,65440,1535,1535
219,63968,1542,1542
220,68032,1549,1549
221,62336,1556,1556
222,69600,1563,1563
223,62208,1570,1570
224,69472,1577,1577
225,62624,1584,1584
226,67968,1591,1591
227,64000,1598,1598
228,65504,1605,1605
229,65504,1612,1612
230,64000,1619,1619
231,68032,1626,1626
232,62336,1633,1633
233,69664,1640,1640
234,62144,1647,1647
235,69536,1654,1654
236,62720,1661,1661
237,67776,1668,1668
238,64256,1675,1675
239,67392,1682,1682
240,65536,1689,1689
241,64032,1696,1696
242,68000,1703,1703
243,62496,1710,1710
244,69504,1717,1717
245,62080,1724,1724
246,69344,1731,1731
247,62816,1738,1738
248,67552,1745,1745
249,64224,1752,1752
250,65312,1759,1759
251,63232,1766,1766
252,68992,1773,1773
253,61888,1780,1780
254,68096,1787,1787
255,64224,1794,1794
256,64768,1801,1801
257,66112,1808,1808
258,64800,1815,1815
259,67296,1822,1822
260,62080,1829,1829
261,69248,1836,1836
262,62176,1843,1843
263,69536,1850,1850
264,62752,1857,1857
265,67456,1864,1864
266,64288,1871,1871
267,65664,1878,1878
268,65600,1885,1885
269,63552,1892,1892
270,68032,1899,1899
271,61760,1906,1906
272,69952,1913,1913
273,62240,1920,1920
274,69536,1927,1927
275,62336,1934,1934
276,68256,1941,1941
277,63808,1948,1948
278,65504,1955,1955
279,64992,1962,1962
280,64320,1969,1969
281,67936,1976,1976
282,62464,1983,1983
283,69152,1990,1990
284,62528,1997,1997
285,69504,2004,2004
286,62752,2011,2011
287,67968,2018,2018
288,63296,2025,2025
289,65696,2032,2032
290,65632,2039,2039
291,63456,2046,2046
292,68448,2053,2053
293,62400,2060,2060
294,69536,2067,2067
295,62304,2074,2074
296,69472,2081,2081
297,62752,2088,2088
298,68160,2095,2095
299,63840,2102,2102
300,65440,2109,2109
301,62752,2116,2116
302,69088,2123,2123
303,62720,2130,2130
304,67808,2137,2137
305,64096,2144,2144
306,65664,2151,2151
307,64448,2158,2158
308,64256,2165,2165
309,67904,2172,2172
310,61568,2179,2179
311,69024,2186,2186
312,63008,2193,2193
313,67392,2200,2200
314,61984,2207,2207
315,67360,2214,2214
316,64128,2221,2221
317,64640,2228,2228
318,65568,2235,2235
319,388672,2242,2242
320,68096,2249,2249
321,62400,2256,2256
322,69568,2263,2263
323,62144,2270,2270
324,69568,2277,2277
325,62656,2284,2284
326,67712,2291,2291
327,64224,2298,2298
328,65280,2305,2305
329,65568,2312,2312
330,64160,2319,2319
331,67776,2326,2326
332,62496,2333,2333
333,69568,2340,2340
334,61632,2347,2347
335,834048,2354,2354
336,62624,2361,2361
337,68576,2368,2368
338,63360,2375,2375
339,65440,2382,2382
340,65632,2389,2389
341,63840,2396,2396
342,67904,2403,2403
343,62432,2410,2410
344,69824,2417,2417
345,61856,2424,2424
346,69664,2431,2431
347,62560,2438,2438
348,67744,2445,2445
349,64064,2452,2452
350,65600,2459,2459
351,62880,2466,2466
352,68864,2473,2473
353,62528,2480,2480
354,68096,2487,2487
355,63968,2494,2494
356,65504,2501,2501
357,65472,2508,2508
358,64128,2515,2515
359,67936,2522,2522
360,62624,2529,2529
361,69376,2536,2536
362,62176,2543,2543
363,69664,2550,2550
364,62304,2557,2557
365,67744,2564,2564
366,64480,2571,2571
367,65216,2578,2578
368,65536,2585,2585
369,63936,2592,2592
370,67936,2599,2599
371,62688,2606,2606
372,69376,2613,2613
373,62048,2620,2620
374,69504,2627,2627
375,62688,2634,2634
376,67776,2641,2641
377,64160,2648,2648
378,65408,2655,2655
379,65504,2662,2662
380,64192,2669,2669
381,67776,2676,2676
382,62464,2683,2683
383,69600,2690,2690
384,62176,2697,2697
385,69568,2704,2704
386,62592,2711,2711
387,67840,2718,2718
388,64160,2725,2725
389,65376,2732,2732
390,65568,2739,2739
391,64032,2746,2746
392,67904,2753,2753
393,62432,2760,2760
394,69632,2767,2767
395,62144,2774,2774
396,69632,2781,2781
397,62528,2788,2788
398,67936,2795,2795
399,64000,2802,2802
400,65440,2809,2809
401,63200,2816,2816
402,68832,2823,2823
403,62656,2830,2830
404,68096,2837,2837
405,63808,2844,2844
406,65376,2851,2851
407,65536,2858,2858
408,64128,2865,2865
409,67936,2872,2872
410,62368,2879,2879
411,69856,2886,2886
412,62208,2893,2893
413,69440,2900,2900
414,62688,2907,2907
415,67296,2914,2914
416,64064,2921,2921
417,65472,2928,2928
418,65568,2935,2935
419,64128,2942,2942
420,67872,2949,2949
421,62304,2956,2956
422,69568,2963,2963
423,62112,2970,2970
424,69568,2977,2977
425,62624,2984,2984
426,67840,2991,2991
427,64128,2998,2998
428,65536,3005,3005
429,65408,3012,3012
430,67904,3019,3019
431,67808,3026,3026
432,62432,3033,3033
433,69664,3040,3040
434,62176,3047,3047
435,69504,3054,3054
436,62816,3061,3061
437,67744,3068,3068
438,64160,3075,3075
439,65344,3082,3082
440,65536,3089,3089
441,64256,3096,3096
442,67648,3103,3103
443,62528,3110,3110
444,69568,3117,3117
445,62144,3124,3124
446,69376,3131,3131
447,62656,3138,3138
448,67840,3145,3145
449,64032,3152,3152
450,65408,3159,3159
451,63200,3166,3166
452,69024,3173,3173
453,62368,3180,3180
454,67872,3187,3187
455,64288,3194,3194
456,65216,3201,3201
457,65568,3208,3208
458,64576,3215,3215
459,67520,3222,3222
460,62592,3229,3229
461,69536,3236,3236
462,62304,3243,3243
463,69280,3250,3250
464,62784,3257,3257
465,67712,3264,3264
466,64352,3271,3271
467,65024,3278,3278
468,65632,3285,3285
469,63936,3292,3292
470,67936,3299,3299
471,62368,3306,3306
472,69632,3313,3313
473,62144,3320,3320
474,69504,3327,3327
475,62656,3334,3334
476,67936,3341,3341
477,64128,3348,3348
478,65184,3355,3355
479,65536,3362,3362
480,64000,3369,3369
481,68032,3376,3376
482,62336,3383,3383
483,69696,3390,3390
484,62240,3397,3397
485,69600,3404,3404
486,62496,3411,3411
487,67808,3418,3418
488,64160,3425,3425
489,65408,3432,3432
490,65568,3439,3439
491,64032,3446,3446
492,68032,3453,3453
493,62368,3460,3460
494,69568,3467,3467
495,62112,3474,3474
496,69536,3481,3481
497,62560,3488,3488
498,67904,3495,3495
499,64096,3502,3502
500,65472,3509,3509
501,63328,3516,3516
502,68768,3523,3523
503,62336,3530,3530
504,68000,3537,3537
505,64096,3544,3544
506,65472,3551,3551
507,65536,3558,3558
508,64224,3565,3565
509,67968,3572,3572
510,62272,3579,3579
511,69632,3586,3586
512,62112,3593,3593
513,69536,3600,3600
514,62656,3607,3607
515,67872,3614,3614
516,64192,3621,3621
517,65472,3628,3628
518,65696,3635,3635
519,63360,3642,3642
520,67936,3649,3649
521,62432,3656,3656
522,69568,3663,3663
523,62240,3670,3670
524,69504,3677,3677
525,65120,3684,3684
526,67776,3691,3691
527,64064,3698,3698
528,65440,3705,3705
529,65664,3712,3712
530,63904,3719,3719
531,67936,3726,3726
532,62400,3733,3733
533,69600,3740,3740
534,62144,3747,3747
535,69696,3754,3754
536,62528,3761,3761
537,67808,3768,3768
538,64096,3775,3775
539,65632,3782,3782
540,65472,3789,3789
541,63872,3796,3796
542,67904,3803,3803
543,62432,3810,3810
544,69600,3817,3817
545,62112,3824,3824
546,69568,3831,3831
547,62656,3838,3838
548,67872,3845,3845
549,64096,3852,3852
550,65376,3859,3859
551,62656,3866,3866
552,69440,3873,3873
553,62528,3880,3880
